,Age,25%,50%,75%,90%,99%,Average
0,16,$1,"$2,000","$5,512","$15,000.00","$45,000.00","$5,785.42"
1,17,$972,"$3,013","$7,500","$17,610.00","$79,000.00","$7,761.47"
2,18,"$1,600","$6,000","$14,820","$25,001.00","$65,002.00","$10,753.50"
3,19,"$3,990","$11,515","$23,000","$35,000.00","$71,001.00","$15,640.00"
4,20,"$6,000","$16,479","$27,516","$40,000.00","$80,004.00","$19,526.09"
5,21,"$10,000","$20,000","$30,001","$41,820.00","$83,002.00","$22,363.58"
6,22,"$10,000","$20,000","$34,320","$50,000.00","$93,691.00","$24,706.00"
7,23,"$14,000","$25,000","$40,033","$60,101.00","$100,005.00","$30,118.12"
8,24,"$17,750","$30,000","$46,401","$65,000.00","$149,501.00","$36,054.20"
9,25,"$21,000","$35,000","$55,000","$76,011.00","$160,201.00","$42,943.11"
10,26,"$22,000","$38,000","$58,000","$86,102.00","$237,507.00","$47,873.45"
11,27,"$25,000","$41,001","$61,600","$91,800.00","$203,551.00","$50,298.65"
12,28,"$25,025","$42,002","$65,000","$100,100.00","$217,172.00","$54,221.10"
13,29,"$25,100","$45,000","$67,310","$100,400.00","$240,001.00","$54,718.76"
14,30,"$25,200","$45,003","$73,321","$108,530.00","$338,500.00","$59,818.59"
15,31,"$28,000","$45,704","$70,002","$111,100.00","$252,670.00","$57,537.18"
16,32,"$29,998","$48,002","$77,060","$120,500.00","$320,900.00","$63,165.08"
17,33,"$29,980","$49,000","$76,255","$120,202.00","$296,000.00","$62,046.62"
18,34,"$28,000","$50,000","$78,003","$122,210.00","$406,001.00","$66,313.13"
19,35,"$30,616","$52,776","$87,055","$133,504.00","$347,103.00","$71,388.71"
20,36,"$30,000","$52,010","$87,006","$131,131.00","$391,451.00","$71,345.70"
21,37,"$30,000","$52,103","$86,000","$137,060.00","$304,027.00","$69,504.62"
22,38,"$30,000","$52,000","$89,610","$150,110.00","$433,410.00","$74,890.28"
23,39,"$30,000","$53,100","$90,301","$145,000.00","$395,509.00","$74,456.32"
24,40,"$32,000","$54,896","$87,855","$140,669.00","$330,011.00","$71,525.01"
25,41,"$30,091","$53,119","$89,404","$150,012.00","$576,004.00","$75,906.69"
26,42,"$32,000","$56,000","$97,000","$162,051.00","$467,203.00","$81,284.92"
27,43,"$31,000","$55,100","$95,000","$152,725.00","$545,563.00","$79,293.20"
28,44,"$34,000","$58,000","$100,004","$150,168.00","$422,200.00","$79,302.79"
29,45,"$31,382","$57,000","$100,012","$160,001.00","$421,905.00","$81,303.94"
30,46,"$33,289","$55,950","$92,403","$147,038.00","$445,201.00","$79,092.44"
31,47,"$33,000","$60,000","$97,761","$156,500.00","$423,000.00","$82,042.96"
32,48,"$33,800","$56,875","$100,000","$150,155.00","$405,395.00","$80,901.14"
33,49,"$30,400","$58,301","$100,000","$150,500.00","$500,040.00","$81,242.54"
34,50,"$32,003","$55,002","$93,010","$159,403.00","$403,724.00","$77,529.42"
35,51,"$34,000","$60,001","$100,500","$160,822.00","$491,280.00","$85,857.91"
36,52,"$31,735","$55,884","$95,000","$150,022.00","$430,952.00","$77,526.22"
37,53,"$35,000","$60,000","$100,001","$163,625.00","$590,000.00","$88,138.18"
38,54,"$32,001","$56,022","$97,300","$170,000.00","$501,053.00","$83,191.57"
39,55,"$32,015","$55,000","$101,000","$165,240.00","$501,500.00","$83,291.85"
40,56,"$31,000","$55,350","$94,050","$151,200.00","$493,229.00","$78,161.63"
41,57,"$30,000","$52,000","$96,000","$162,002.00","$592,501.00","$82,172.30"
42,58,"$32,000","$55,000","$92,500","$150,000.00","$437,022.00","$76,561.92"
43,59,"$29,012","$50,033","$88,003","$161,101.00","$480,815.00","$78,545.31"
44,60,"$32,100","$57,000","$100,006","$160,790.00","$435,000.00","$81,424.28"
45,61,"$31,005","$56,438","$100,001","$170,051.00","$488,500.00","$79,541.38"
46,62,"$32,000","$54,001","$96,301","$163,012.00","$725,754.00","$86,680.48"
47,63,"$30,000","$59,801","$104,138","$168,000.00","$620,201.00","$88,359.06"
48,64,"$31,000","$55,650","$103,001","$167,612.00","$625,172.00","$87,985.91"
49,65,"$32,001","$58,000","$90,541","$152,095.00","$484,120.00","$82,909.61"
50,66,"$31,899","$55,028","$90,500","$153,790.00","$568,650.00","$79,208.02"
51,67,"$34,488","$59,830","$97,349","$165,000.00","$688,347.00","$89,157.79"
52,68,"$33,990","$60,028","$100,790","$175,627.00","$412,806.00","$86,361.18"
53,69,"$35,784","$60,082","$100,011","$168,740.00","$437,201.00","$84,066.92"
54,70,"$34,182","$54,800","$95,751","$164,400.00","$474,201.00","$84,946.11"
55,71,"$31,216","$54,953","$108,842","$176,282.00","$978,626.00","$91,061.64"
56,72,"$30,001","$53,340","$100,000","$193,600.00","$406,000.00","$84,480.59"
57,73,"$34,858","$60,792","$109,050","$205,285.00","$467,016.00","$90,257.94"
58,74,"$31,918","$50,100","$102,005","$188,411.00","$542,000.00","$83,386.70"
59,75,"$28,320","$53,432","$87,301","$146,051.00","$441,200.00","$73,327.31"
